2024-03-01 18:47:48.947 [warning] Running on the desktop; workspaceId=9b39e438b0bc9c0d49fa66aa334b7474; storageUri=vscode-userdata:/home/mrv/.config/Code/User/globalStorage/ms-vscode.remote-repositories
2024-03-01 18:47:48.952 [info] [ GHPR] Not currently installed or enabled; waiting...
2024-03-01 18:51:06.685 [warning] Running on the desktop; workspaceId=79bb59ffd0684f402561c6ff0cbf0e50; storageUri=vscode-userdata:/home/mrv/.config/Code/User/globalStorage/ms-vscode.remote-repositories
2024-03-01 18:51:09.167 [info] [   67] fs.readFile(vscode-vfs://github/Raphael-08/test/pylintrc)
2024-03-01 18:51:09.168 [info] [   67] fs.readFile(vscode-vfs://github/Raphael-08/test/pylintrc) took 0 ms (Provider query took 0 ms)
2024-03-01 18:51:09.168 [info] [   68] fs.stat(vscode-vfs://github/Raphael-08/test/pylintrc)
2024-03-01 18:51:09.168 [info] [   68] fs.stat(vscode-vfs://github/Raphael-08/test/pylintrc) took 0 ms (Provider query took 0 ms)
2024-03-01 18:51:09.170 [info] [   69] fs.readFile(vscode-vfs://github/Raphael-08/test/.mypy.ini)
2024-03-01 18:51:09.170 [info] [   69] fs.readFile(vscode-vfs://github/Raphael-08/test/.mypy.ini) took 0 ms (Provider query took 0 ms)
2024-03-01 18:51:09.170 [info] [   70] fs.stat(vscode-vfs://github/Raphael-08/test/.mypy.ini)
2024-03-01 18:51:09.170 [info] [   70] fs.stat(vscode-vfs://github/Raphael-08/test/.mypy.ini) took 0 ms (Provider query took 0 ms)
2024-03-01 18:51:09.171 [info] [   71] fs.readFile(vscode-vfs://github/Raphael-08/test/.flake8)
2024-03-01 18:51:09.171 [info] [   71] fs.readFile(vscode-vfs://github/Raphael-08/test/.flake8) took 0 ms (Provider query took 0 ms)
2024-03-01 18:51:09.172 [info] [   72] fs.stat(vscode-vfs://github/Raphael-08/test/.flake8)
2024-03-01 18:51:09.172 [info] [   72] fs.stat(vscode-vfs://github/Raphael-08/test/.flake8) took 0 ms (Provider query took 0 ms)
2024-03-01 18:51:09.218 [warning] [    5] fs.stat(vscode-vfs://github/Raphael-08/test/.vscode/settings.json) took 2470 ms (Provider query took 0 ms)
2024-03-01 18:51:09.228 [info] [   73] fs.readFile(vscode-vfs://github/Raphael-08/test/.vscode/settings.json)
2024-03-01 18:51:09.229 [info] [   73] fs.readFile(vscode-vfs://github/Raphael-08/test/.vscode/settings.json) took 0 ms (Provider query took 0 ms)
2024-03-01 18:51:09.229 [info] [   74] fs.stat(vscode-vfs://github/Raphael-08/test/.vscode/settings.json)
2024-03-01 18:51:09.229 [info] [   74] fs.stat(vscode-vfs://github/Raphael-08/test/.vscode/settings.json) took 0 ms (Provider query took 0 ms)
2024-03-01 18:51:09.232 [info] [   75] fs.readFile(vscode-vfs://github/Raphael-08/test/.vscode/settings.json)
2024-03-01 18:51:09.232 [info] [   75] fs.readFile(vscode-vfs://github/Raphael-08/test/.vscode/settings.json) took 0 ms (Provider query took 0 ms)
2024-03-01 18:51:09.232 [info] [   76] fs.stat(vscode-vfs://github/Raphael-08/test/.vscode/settings.json)
2024-03-01 18:51:09.233 [info] [   76] fs.stat(vscode-vfs://github/Raphael-08/test/.vscode/settings.json) took 0 ms (Provider query took 0 ms)
2024-03-01 18:51:09.235 [info] [   77] fs.readFile(vscode-vfs://github/Raphael-08/test/.vscode/settings.json)
2024-03-01 18:51:09.238 [info] [   77] fs.readFile(vscode-vfs://github/Raphael-08/test/.vscode/settings.json) took 2 ms (Provider query took 2 ms)
2024-03-01 18:51:09.238 [info] [   78] fs.stat(vscode-vfs://github/Raphael-08/test/.vscode/settings.json)
2024-03-01 18:51:09.239 [info] [   78] fs.stat(vscode-vfs://github/Raphael-08/test/.vscode/settings.json) took 0 ms (Provider query took 0 ms)
2024-03-01 18:51:09.240 [info] [   79] fs.readFile(vscode-vfs://github/Raphael-08/test/.vscode/settings.json)
2024-03-01 18:51:09.240 [info] [   79] fs.readFile(vscode-vfs://github/Raphael-08/test/.vscode/settings.json) took 0 ms (Provider query took 0 ms)
2024-03-01 18:51:09.240 [info] [   80] fs.stat(vscode-vfs://github/Raphael-08/test/.vscode/settings.json)
2024-03-01 18:51:09.241 [info] [   80] fs.stat(vscode-vfs://github/Raphael-08/test/.vscode/settings.json) took 0 ms (Provider query took 0 ms)
2024-03-01 18:51:09.242 [info] [   81] fs.readFile(vscode-vfs://github/Raphael-08/test/.vscode/settings.json)
2024-03-01 18:51:09.243 [info] [   81] fs.readFile(vscode-vfs://github/Raphael-08/test/.vscode/settings.json) took 0 ms (Provider query took 0 ms)
2024-03-01 18:51:09.243 [info] [   82] fs.stat(vscode-vfs://github/Raphael-08/test/.vscode/settings.json)
2024-03-01 18:51:09.244 [info] [   82] fs.stat(vscode-vfs://github/Raphael-08/test/.vscode/settings.json) took 0 ms (Provider query took 0 ms)
2024-03-01 18:51:09.245 [info] [   83] fs.readFile(vscode-vfs://github/Raphael-08/test/.vscode/settings.json)
2024-03-01 18:51:09.246 [info] [   83] fs.readFile(vscode-vfs://github/Raphael-08/test/.vscode/settings.json) took 0 ms (Provider query took 0 ms)
2024-03-01 18:51:09.246 [info] [   84] fs.stat(vscode-vfs://github/Raphael-08/test/.vscode/settings.json)
2024-03-01 18:51:09.246 [info] [   84] fs.stat(vscode-vfs://github/Raphael-08/test/.vscode/settings.json) took 0 ms (Provider query took 0 ms)
2024-03-01 18:51:09.247 [info] [   85] fs.readFile(vscode-vfs://github/Raphael-08/test/.vscode/settings.json)
2024-03-01 18:51:09.248 [info] [   85] fs.readFile(vscode-vfs://github/Raphael-08/test/.vscode/settings.json) took 0 ms (Provider query took 0 ms)
